Sample,Month,Season,Year,Zone,Station,Batch,SecchiDiskDepth,Silica,Sulfate,Temperature,Turbidity,Alkalinity,Ammonia,Pheophytin.a,Chlorophyll.a,TotalDepth,DissolvedOxygen,Nitrate.Nitrite,Phosphate.Ortho,Phosphate.Total,pH,Total.Nitrogen,TN.TP.ratio,Microcystis.Abundance,Microcystin.RR,Microcystin.WR,Microcystin.YR,Microcystin,Microcystin.HILR,Microcystin.HTYR,Microcystin.LA,Microcystin.LF,Microcystin.LR,Microcystin.LW,Microcystin.LY,Anatoxin.a,Cylindrospermopsin,S,N,H,J,inv.D
CLV10A_4_19,4,dry,1,Pelagic,CLV10A,LO22,0.2,0,0,23.8,55.7,106,0.01,0.363,12.4,2.8,8.64,0.327,0.07,0.169,8.3,1.45,8.58,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,262,21984,4.70321897,0.844635056,52.88274536
CLV10A_5_19,5,wet,1,Pelagic,CLV10A,LO22,0.2,10.6,23.6,27.3,48.2,102,0.013,0.512,12,2.6,7.73,0.228,0.058,0.155,8.2,1.25,8.065,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,329,20188,5.115034244,0.882502291,90.45910228
CLV10A_6_19,6,wet,1,Pelagic,CLV10A,ELIZA2,0.2,0,0,30.8,22,108,0.01,0.688,22.8,2.58,7.23,0.019,0.039,0.118,8.4,1.02,8.644,0.000509713,0,0,0,0.4,0,0,0,0,0,0,0,0,0,480,32990,5.571929823,0.902514232,169.3405872
CLV10A_7_19,7,wet,1,Pelagic,CLV10A,ELIZA2,0.2,0,0,26.7,70,115,0.005,1.33,21.7,2.3,6.9,0.062,0.041,0.216,8,1.68,7.778,0.005186871,0,0,0,3,0,0,0,0,0,0,0,0,0,1460,117659,6.594850681,0.905116272,366.3476024
CLV10A_8_19,8,wet,1,Pelagic,CLV10A,ELIZA2,0.25,7.24,23.9,28.8,31.7,97,0.009,0.848,29.9,2.8,7.02,0.15,0.042,0.145,8,1.43,9.862,0.001084038,0,0,0,0.24,0,0,0,0,0,0,0,0,0,1152,96354,6.317628923,0.896212304,317.3081777
CLV10A_9_19,9,wet,1,Pelagic,CLV10A,ELIZA2,0.2,0,0,30.7,62.7,89,0.017,1.32,19.3,3.5,6.91,0.256,0.036,0.178,8,1.54,8.652,0.002878803,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,1097,82691,6.313337952,0.901862331,306.2698355
CLV10A_10_19,10,wet,1,Pelagic,CLV10A,LO310,0.1,0,0,27,35.4,109,0.014,0.384,6.12,3.4,7.64,0.353,0.066,0.14,8.2,1.34,9.571,2.15E-05,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,402,12146,5.253373852,0.876080351,103.031984
CLV10A_11_19,11,dry,1,Pelagic,CLV10A,ELIZA23,0.4,9.95,24.8,27.4,30.3,98,0.009,0.304,9.95,3.2,8,0.359,0.066,0.134,8.2,1.26,9.403,7.18E-05,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,568,29737,5.34090461,0.842132192,66.15791871
CLV10A_12_19,12,dry,1,Pelagic,CLV10A,ELIZA23,0.1,0,0,19.2,158,118,0.01,1.9,9.14,3.2,8.36,0.381,0.036,0.326,7.9,2.63,8.067,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,891,28338,6.126377052,0.901953238,230.8834649
CLV10A_1_20,1,dry,2,Pelagic,CLV10A,ELIZA2,0.1,0,0,21.1,39,107,0.011,0.372,3.49,3.2,8.8,0.462,0.101,0.146,8.1,1.36,9.315,8.08E-05,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,647,74974,5.404750505,0.83505274,83.04073866
CLV10A_2_20,2,dry,2,Pelagic,CLV10A,ELIZA23,0.15,9.45,24.1,17.7,64,109,0.007,0.38,7.91,3.2,9.25,0.494,0.065,0.176,8.1,1.56,8.864,0.000253062,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,1190,95312,5.798253721,0.818764801,113.7181782
CLV10A_3_20,3,dry,2,Pelagic,CLV10A,ELIZA3,0.2,10.4,25.4,20,44.3,105,0.006,-0.36,4.24,3,9.1,0.474,0.079,0.167,8.1,1.46,8.743,0,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,86,17602,3.857322984,0.865968172,30.46556451
CLV10A_4_20,4,dry,2,Pelagic,CLV10A,UNK,0.1,8.73,26.1,25.9,59.5,111,0.005,0.8,34.2,2.7,8.77,0.237,0.062,0.197,8.3,1.57,7.97,0.003410054,-0.25,-0.25,-0.25,0,0,0,-0.25,-0.25,0.42,-0.25,-0.25,-0.25,-0.25,548,22240,5.431671347,0.861312122,82.13262236
CLV10A_6_20,6,wet,2,Pelagic,CLV10A,UNK,0.2,8.99,28,28.4,18.7,115,0.015,1.5,36,2.5,7.95,0.038,0.052,0.139,8.7,1.15,8.273,0.001658363,-0.25,-0.5,-0.25,0,0,0,0.29,-0.25,26,-0.25,-0.25,-0.25,-0.25,107,15957,4.176136249,0.893706232,44.21227046
CLV10A_7_20,7,wet,2,Pelagic,CLV10A,UNK,0.2,7.04,25,33.1,56.8,95,0.014,0.955,57.5,2.8,10.1,0.005,0.047,0.184,8.6,1.56,8.478,0.002562924,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,14,-0.25,-0.25,-0.25,-0.25,564,19736,5.561016103,0.87781665,97.283351
CLV10A_8_20,8,wet,2,Pelagic,CLV10A,UNK,0.2,5.75,23.1,30.9,25.5,90,0.008,1.67,69.7,2.9,7.64,-0.005,0.026,0.148,8.3,1.56,10.541,0.012008773,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,0.33,-0.25,-0.25,-0.25,-0.25,698,37815,5.415067048,0.826952636,39.92010991
CLV10A_9_20,9,wet,2,Pelagic,CLV10A,UNK,0.2,6.01,17.6,29.7,19.8,74,0.009,1.45,32.9,3.3,7.01,0.121,0.033,0.121,8,1.4,11.57,0.000732264,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,1043,77864,6.277305439,0.903228071,280.063275
CLV10A_10_20,10,wet,2,Pelagic,CLV10A,UNK,0.3,9.65,23.6,27.9,21.7,103,0.011,0.196,2.71,2.6,7.53,0.204,0.061,0.111,8,1.04,9.369,8.26E-05,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,671,71819,5.446837608,0.836846029,67.82273566
CLV10A_12_20,12,dry,2,Pelagic,CLV10A,PAIS1,0.3,8.9,21.5,20.2,34.2,95,0.01,0.496,10.8,4,9.58,0.355,0.054,0.147,8.3,1.35,9.184,0,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,576,45838,5.362099196,0.843613652,79.59640583
CLV10A_1_21,1,dry,3,Pelagic,CLV10A,PAIS1,0.1,9.56,21.2,18.7,80,107,0.007,0.469,3.97,4.2,9.2,0.454,0.064,0.214,8.2,1.76,8.224,0,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,733,44511,5.674589501,0.86015828,103.7660043
CLV10A_2_21,2,dry,3,Pelagic,CLV10A,PAIS1,0.1,9.03,20.5,0,27.5,95,0.009,0.424,32.3,2.3,0,0.303,0.064,0.108,0,1.37,12.685,0.000324852,-0.25,-0.5,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,374,22789,5.068451361,0.855542288,77.13109085
CLV10A_3_21,3,dry,3,Pelagic,CLV10A,PAIS1,0.2,9.59,22.4,19.5,76.9,110,-0.005,0.432,4.72,2.3,9.08,0.419,0.088,0.232,8,1.6,6.897,0.000152555,-0.25,-0.5,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,643,51822,5.510081937,0.852143305,113.9640855
CLV10A_4_21,4,dry,3,Pelagic,CLV10A,PAIS3,0.2,10.1,22.4,23,49.4,100,0.013,0.232,7.84,3.7,8.63,0.4,0.094,0.19,8.3,1.44,7.579,6.46E-05,-0.25,-0.5,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,591,34007,5.397456297,0.845755547,100.0546742
CLV10A_5_21,5,wet,3,Pelagic,CLV10A,PAIS1,0.1,9.94,22.5,27.9,38.9,98,0.008,1.36,104,3.6,15.8,0.031,0.048,0.207,9.4,1.62,7.826,0.031365314,0.23,1.4,-0.25,0,0.58,-0.25,0.5,-0.1,53,-0.25,-0.1,-0.25,-0.1,255,39395,3.447583567,0.622165601,6.382093491
CLV10A_6_21,6,wet,3,Pelagic,CLV10A,PAIS2,0.2,7.25,22.3,30.1,24.5,100,0.012,0.592,17.2,3.1,7.3,0.145,0.058,0.139,8.3,1.21,8.705,0.000954815,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,521,53691,5.271691998,0.842695434,74.94616789
CLV10A_7_21,7,wet,3,Pelagic,CLV10A,PAIS1,0.3,7.16,22.7,28.3,26.1,100,0.009,1.11,40.4,3.4,7.49,0.046,0.044,0.134,8.4,1.28,9.552,0.00519046,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,7.3,-0.25,-0.1,-0.25,-0.1,698,55099,5.558012796,0.84878235,95.546616
CLV10A_8_21,8,wet,3,Pelagic,CLV10A,PAIS3,0.2,4.34,21.7,29.6,134,111,0.016,2.73,18,3.3,6.2,0.189,0.04,0.319,8,2.42,7.586,0.000109481,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.35,-0.25,-0.1,-0.25,-0.1,1381,45216,6.63065121,0.91703109,399.9984849
